Customer_query,Category,Intent,Priority
Do you know the business plan not connecting?,Technical Support,Technical Issue,Low
I'm stuck with closing my account.,General Inquiry,Account Request,Medium
Can someone look into this right away: notifications from your AI HR software not working.,Technical Support,Technical Issue,High
I'd like some information about which countries you support.,General Inquiry,General Information,Low
I'm trying to find out my current plan crashing?,Technical Support,Technical Issue,Low
Just checking—transferring my service?,Service Inquiry,Service Request,Low
Can someone look into this right away: comparing the business plan with another option.,Product Inquiry,Product Request,High
Just wanted to check adding a feature to the premium plan?,Product Inquiry,Product Request,Low
I'm running into an issue with uploading a file to the HR platform.,Technical Support,Technical Issue,Medium
Can someone look into this right away: an item that arrived damaged.,Complaint,Service Complaint,High
Could you let me know what languages you support?,General Inquiry,General Information,Low
Do you know cancelling my service?,Service Inquiry,Service Request,Low
Something isn't working with checking my service request.,Service Inquiry,Service Request,Medium
I need help with this as soon as possible: your business hours.,General Inquiry,General Information,High
I'm stuck with an error in our company account.,Technical Support,Technical Issue,Medium
I need help with this as soon as possible: the quality of the service.,Complaint,Service Complaint,High
I'm running into an issue with a delivery that arrived late.,Complaint,Service Complaint,Medium
Just checking—what services you offer?,Service Inquiry,Service Information,Low
I'd like some information about logging into the HR platform.,Technical Support,Technical Issue,Low
I'm running into an issue with cancelling my service.,Service Inquiry,Service Request,Medium
I'm having trouble with integrating my recent order with another tool.,Product Inquiry,Product Request,Medium
Can you tell me activating my service?,Service Inquiry,Service Request,Low
Just checking—uploading a file to my subscription?,Technical Support,Technical Issue,Low
I'd like some information about an error in my current plan.,Technical Support,Technical Issue,Low
I was wondering getting help with my account?,General Inquiry,Account Request,Low
I'd like some information about how the premium plan works.,Product Inquiry,Product Information,Low
I'd like some information about your terms and conditions.,General Inquiry,General Information,Low
I'm having a problem with the HR platform not connecting.,Technical Support,Technical Issue,Medium
I'd like some information about activating my service.,Service Inquiry,Service Request,Low
Can someone look into this right away: integrating our company account with another tool.,Product Inquiry,Product Request,High
This is urgent—can you help with your business hours.,General Inquiry,General Information,High
I'd like some information about a refund for my recent order.,Pricing,Billing Request,Low
I was wondering what I'd pay for my subscription?,Pricing,Pricing Information,Low
I need some help with changing my account details.,General Inquiry,Account Request,Medium
I'm trying to find out the price of the premium plan?,Pricing,Pricing Information,Low
I can't seem to transferring my service.,Service Inquiry,Service Request,Medium
I'm running into an issue with the price of the business plan.,Pricing,Pricing Information,Medium
I urgently need help with getting documentation for the HR platform.,Product Inquiry,Product Request,High
I can't seem to booking an appointment.,Service Inquiry,Service Request,Medium
I'd like some information about closing my account.,General Inquiry,Account Request,Low
I wanted to ask the current pricing for the customer portal?,Pricing,Pricing Information,Low
Can you tell me a service outage?,Complaint,Service Complaint,Low
Please help me resolve this urgently: the monthly cost of the business plan.,Pricing,Pricing Information,High
This is urgent—can you help with a delivery that arrived late.,Complaint,Service Complaint,High
I can't seem to your maintenance schedule.,Service Inquiry,Service Information,Medium
This is urgent—can you help with the poor service I received.,Complaint,Service Complaint,High
